Üniversiteyi şok eden: 1 defa bulunmaktadır
şok eden suikast: 1 defa bulunmaktadır
eden suikast Kastamonu: 1 defa bulunmaktadır
suikast Kastamonu Üniversitesi: 1 defa bulunmaktadır
Kastamonu Üniversitesi (KÜ): 1 defa bulunmaktadır
Üniversitesi (KÜ) Genel: 1 defa bulunmaktadır
(KÜ) Genel Sekreteri: 1 defa bulunmaktadır
Genel Sekreteri Muhittin: 6 defa bulunmaktadır
Sekreteri Muhittin Sağlam,: 3 defa bulunmaktadır
Muhittin Sağlam, evinin: 1 defa bulunmaktadır
Sağlam, evinin önünde: 1 defa bulunmaktadır
evinin önünde silahlı: 1 defa bulunmaktadır
önünde silahlı saldırıya: 1 defa bulunmaktadır
silahlı saldırıya uğradı.: 3 defa bulunmaktadır
saldırıya uğradı. Ağır: 1 defa bulunmaktadır
uğradı. Ağır yaralı: 1 defa bulunmaktadır
Ağır yaralı olarak: 1 defa bulunmaktadır
yaralı olarak hastaneye: 1 defa bulunmaktadır
olarak hastaneye kaldırılan: 1 defa bulunmaktadır
hastaneye kaldırılan Sağlam: 1 defa bulunmaktadır
kaldırılan Sağlam tüm: 1 defa bulunmaktadır
Sağlam tüm müdahalelere: 1 defa bulunmaktadır
tüm müdahalelere rağmen: 5 defa bulunmaktadır
müdahalelere rağmen kurtarılamadı.: 2 defa bulunmaktadır
rağmen kurtarılamadı. Kastamonu: 1 defa bulunmaktadır
kurtarılamadı. Kastamonu Üniversitesi: 1 defa bulunmaktadır
Kastamonu Üniversitesi Genel: 5 defa bulunmaktadır
Üniversitesi Genel Sekreteri: 5 defa bulunmaktadır
Genel Sekreteri Muhittin: 6 defa bulunmaktadır
Sekreteri Muhittin Sağlam,: 3 defa bulunmaktadır
Muhittin Sağlam, dün: 2 defa bulunmaktadır
Sağlam, dün akşam: 2 defa bulunmaktadır
dün akşam evinin: 2 defa bulunmaktadır
akşam evinin bulunduğu: 2 defa bulunmaktadır
evinin bulunduğu sitenin: 1 defa bulunmaktadır
bulunduğu sitenin girişinde: 1 defa bulunmaktadır
sitenin girişinde silahlı: 1 defa bulunmaktadır
girişinde silahlı saldırıya: 2 defa bulunmaktadır
silahlı saldırıya uğradı.: 3 defa bulunmaktadır
saldırıya uğradı. Saldırıda: 1 defa bulunmaktadır
uğradı. Saldırıda 4: 1 defa bulunmaktadır
Saldırıda 4 kurşun: 1 defa bulunmaktadır
4 kurşun isabet: 1 defa bulunmaktadır
kurşun isabet ettiği: 1 defa bulunmaktadır
isabet ettiği bildirilen: 1 defa bulunmaktadır
ettiği bildirilen Sağlam,: 1 defa bulunmaktadır
bildirilen Sağlam, kaldırıldığı: 1 defa bulunmaktadır
Sağlam, kaldırıldığı İsfendiyar: 2 defa bulunmaktadır
kaldırıldığı İsfendiyar Anadolu: 2 defa bulunmaktadır
İsfendiyar Anadolu Hastanesi'nde: 1 defa bulunmaktadır
Anadolu Hastanesi'nde tüm: 1 defa bulunmaktadır
Hastanesi'nde tüm müdahalelere: 1 defa bulunmaktadır
tüm müdahalelere rağmen: 5 defa bulunmaktadır
müdahalelere rağmen kurtarılamadı. : 1 defa bulunmaktadır
rağmen kurtarılamadı.  "EMNİYETTEN: 1 defa bulunmaktadır
kurtarılamadı.  "EMNİYETTEN OLAYIN: 1 defa bulunmaktadır
"EMNİYETTEN OLAYIN AYDINLATILMASINI: 1 defa bulunmaktadır
OLAYIN AYDINLATILMASINI İSTİYORUZ": 1 defa bulunmaktadır
AYDINLATILMASINI İSTİYORUZ" Kastamonu: 1 defa bulunmaktadır
İSTİYORUZ" Kastamonu Üniversitesi: 1 defa bulunmaktadır
Kastamonu Üniversitesi Genel: 5 defa bulunmaktadır
Üniversitesi Genel Sekreteri: 5 defa bulunmaktadır
Genel Sekreteri Muhittin: 6 defa bulunmaktadır
Sekreteri Muhittin Sağlam’ın: 3 defa bulunmaktadır
Muhittin Sağlam’ın öldüğü: 2 defa bulunmaktadır
Sağlam’ın öldüğü hastaneye: 2 defa bulunmaktadır
öldüğü hastaneye gelen: 2 defa bulunmaktadır
hastaneye gelen Kastamonu: 2 defa bulunmaktadır
gelen Kastamonu Üniversitesi: 2 defa bulunmaktadır
Kastamonu Üniversitesi Rektörü: 3 defa bulunmaktadır
Üniversitesi Rektörü Seyit: 2 defa bulunmaktadır
Rektörü Seyit Aydın;: 1 defa bulunmaktadır
Seyit Aydın; Tabii: 1 defa bulunmaktadır
Aydın; Tabii ki: 1 defa bulunmaktadır
Tabii ki kaybımız,: 1 defa bulunmaktadır
ki kaybımız, acımız: 2 defa bulunmaktadır
kaybımız, acımız her: 2 defa bulunmaktadır
acımız her zaman: 2 defa bulunmaktadır
her zaman bu: 2 defa bulunmaktadır
zaman bu tür: 2 defa bulunmaktadır
bu tür hadiselerde: 2 defa bulunmaktadır
tür hadiselerde büyük.: 2 defa bulunmaktadır
hadiselerde büyük. Ama: 2 defa bulunmaktadır
büyük. Ama insan: 2 defa bulunmaktadır
Ama insan çok: 2 defa bulunmaktadır
insan çok yakınında,: 2 defa bulunmaktadır
çok yakınında, mesai: 2 defa bulunmaktadır
yakınında, mesai arkadaşını: 2 defa bulunmaktadır
mesai arkadaşını kaybedince: 2 defa bulunmaktadır
arkadaşını kaybedince çok: 2 defa bulunmaktadır
kaybedince çok farklı: 2 defa bulunmaktadır
çok farklı oluyor.: 2 defa bulunmaktadır
