Üniversiteyi şok: 1 defa bulunmaktadır
şok eden: 1 defa bulunmaktadır
eden suikast: 1 defa bulunmaktadır
suikast Kastamonu: 1 defa bulunmaktadır
Kastamonu Üniversitesi: 9 defa bulunmaktadır
Üniversitesi (KÜ): 1 defa bulunmaktadır
(KÜ) Genel: 1 defa bulunmaktadır
Genel Sekreteri: 6 defa bulunmaktadır
Sekreteri Muhittin: 6 defa bulunmaktadır
Muhittin Sağlam,: 3 defa bulunmaktadır
Sağlam, evinin: 1 defa bulunmaktadır
evinin önünde: 1 defa bulunmaktadır
önünde silahlı: 1 defa bulunmaktadır
silahlı saldırıya: 3 defa bulunmaktadır
saldırıya uğradı.: 3 defa bulunmaktadır
uğradı. Ağır: 1 defa bulunmaktadır
Ağır yaralı: 1 defa bulunmaktadır
yaralı olarak: 1 defa bulunmaktadır
olarak hastaneye: 1 defa bulunmaktadır
hastaneye kaldırılan: 1 defa bulunmaktadır
kaldırılan Sağlam: 1 defa bulunmaktadır
Sağlam tüm: 1 defa bulunmaktadır
tüm müdahalelere: 5 defa bulunmaktadır
müdahalelere rağmen: 5 defa bulunmaktadır
rağmen kurtarılamadı.: 2 defa bulunmaktadır
kurtarılamadı. Kastamonu: 1 defa bulunmaktadır
Kastamonu Üniversitesi: 9 defa bulunmaktadır
Üniversitesi Genel: 5 defa bulunmaktadır
Genel Sekreteri: 6 defa bulunmaktadır
Sekreteri Muhittin: 6 defa bulunmaktadır
Muhittin Sağlam,: 3 defa bulunmaktadır
Sağlam, dün: 2 defa bulunmaktadır
dün akşam: 2 defa bulunmaktadır
akşam evinin: 2 defa bulunmaktadır
evinin bulunduğu: 2 defa bulunmaktadır
bulunduğu sitenin: 1 defa bulunmaktadır
sitenin girişinde: 1 defa bulunmaktadır
girişinde silahlı: 2 defa bulunmaktadır
silahlı saldırıya: 3 defa bulunmaktadır
saldırıya uğradı.: 3 defa bulunmaktadır
uğradı. Saldırıda: 1 defa bulunmaktadır
Saldırıda 4: 1 defa bulunmaktadır
4 kurşun: 3 defa bulunmaktadır
kurşun isabet: 1 defa bulunmaktadır
isabet ettiği: 1 defa bulunmaktadır
ettiği bildirilen: 1 defa bulunmaktadır
bildirilen Sağlam,: 1 defa bulunmaktadır
Sağlam, kaldırıldığı: 2 defa bulunmaktadır
kaldırıldığı İsfendiyar: 2 defa bulunmaktadır
İsfendiyar Anadolu: 4 defa bulunmaktadır
Anadolu Hastanesi'nde: 1 defa bulunmaktadır
Hastanesi'nde tüm: 1 defa bulunmaktadır
tüm müdahalelere: 5 defa bulunmaktadır
müdahalelere rağmen: 5 defa bulunmaktadır
