A.Ş., Özkar: 1 defa bulunmaktadır
Özkar İnşaat: 2 defa bulunmaktadır
İnşaat Sanayi: 4 defa bulunmaktadır
Sanayi ve: 9 defa bulunmaktadır
ve Ticaret: 13 defa bulunmaktadır
Ticaret A.Ş.,: 6 defa bulunmaktadır
A.Ş., Aksa: 1 defa bulunmaktadır
Aksa Enerji: 1 defa bulunmaktadır
Enerji Üretim: 4 defa bulunmaktadır
Üretim A.Ş.,: 1 defa bulunmaktadır
A.Ş., Elsan: 1 defa bulunmaktadır
Elsan Elektrik: 2 defa bulunmaktadır
Elektrik Gereçleri: 2 defa bulunmaktadır
Gereçleri Sanayi: 2 defa bulunmaktadır
Sanayi ve: 9 defa bulunmaktadır
ve Ticaret: 13 defa bulunmaktadır
Ticaret A.Ş.,: 6 defa bulunmaktadır
A.Ş., Limak: 1 defa bulunmaktadır
Limak İnşaat: 1 defa bulunmaktadır
İnşaat Sanayi: 4 defa bulunmaktadır
Sanayi ve: 9 defa bulunmaktadır
ve Ticaret: 13 defa bulunmaktadır
Ticaret A.Ş.,: 6 defa bulunmaktadır
A.Ş., Çelikler: 1 defa bulunmaktadır
Çelikler Taahhüt: 4 defa bulunmaktadır
Taahhüt İnşaat: 4 defa bulunmaktadır
İnşaat ve: 4 defa bulunmaktadır
ve Sanayi: 4 defa bulunmaktadır
Sanayi A.Ş.,: 1 defa bulunmaktadır
A.Ş., Eti: 1 defa bulunmaktadır
Eti Bakır: 1 defa bulunmaktadır
Bakır A.Ş.,: 1 defa bulunmaktadır
A.Ş., Bilgin: 1 defa bulunmaktadır
Bilgin Enerji-Suba: 2 defa bulunmaktadır
Enerji-Suba Ortak: 2 defa bulunmaktadır
Ortak Girişim: 6 defa bulunmaktadır
Girişim Grubu,: 4 defa bulunmaktadır
Grubu, Kolin: 1 defa bulunmaktadır
Kolin İnşaat: 1 defa bulunmaktadır
İnşaat Turizm: 1 defa bulunmaktadır
Turizm Sanayi: 1 defa bulunmaktadır
Sanayi ve: 9 defa bulunmaktadır
ve Ticaret: 13 defa bulunmaktadır
Ticaret A.Ş.,: 6 defa bulunmaktadır
A.Ş., IC: 1 defa bulunmaktadır
IC İçtaş: 2 defa bulunmaktadır
İçtaş Enerji: 2 defa bulunmaktadır
Enerji Üretim: 4 defa bulunmaktadır
Üretim ve: 3 defa bulunmaktadır
ve Ticaret: 13 defa bulunmaktadır
Ticaret A.Ş.-Fernas: 2 defa bulunmaktadır
A.Ş.-Fernas İnşaat: 2 defa bulunmaktadır
İnşaat A.Ş.: 2 defa bulunmaktadır
A.Ş. Ortak: 2 defa bulunmaktadır
Ortak Girişim: 6 defa bulunmaktadır
Girişim Grubu,: 4 defa bulunmaktadır
Grubu, Konya: 1 defa bulunmaktadır
Konya Şeker: 1 defa bulunmaktadır
Şeker Sanayi: 1 defa bulunmaktadır
Sanayi ve: 9 defa bulunmaktadır
ve Ticaret: 13 defa bulunmaktadır
Ticaret A.Ş.-Siyahkalem: 1 defa bulunmaktadır
A.Ş.-Siyahkalem Mühendislik: 1 defa bulunmaktadır
Mühendislik İnşaat: 1 defa bulunmaktadır
İnşaat Sanayi: 4 defa bulunmaktadır
Sanayi ve: 9 defa bulunmaktadır
ve Ticaret: 13 defa bulunmaktadır
Ticaret Ltd.: 1 defa bulunmaktadır
Ltd. Şti.: 1 defa bulunmaktadır
Şti. Ortak: 1 defa bulunmaktadır
Ortak Girişim: 6 defa bulunmaktadır
Girişim Grubu,: 4 defa bulunmaktadır
Grubu, Park: 1 defa bulunmaktadır
Park Holding: 2 defa bulunmaktadır
Holding A.Ş.": 1 defa bulunmaktadır
A.Ş." -1: 1 defa bulunmaktadır
-1 ELEMELİ: 1 defa bulunmaktadır
ELEMELİ 3: 1 defa bulunmaktadır
3 ELEMESİZ: 1 defa bulunmaktadır
ELEMESİZ TUR: 1 defa bulunmaktadır
TUR YAPILDI-: 1 defa bulunmaktadır
YAPILDI- İhalede: 1 defa bulunmaktadır
İhalede 1: 1 defa bulunmaktadır
1 elemeli: 1 defa bulunmaktadır
elemeli 3: 1 defa bulunmaktadır
3 elemesiz: 1 defa bulunmaktadır
elemesiz tur: 1 defa bulunmaktadır
tur gerçekleştirildi.: 1 defa bulunmaktadır
